AP_ICAO,AP_Name,AP_IATA,AP_Country,AP_LatLong,AP_Municipality,AP_Type,AP_AltitudeFt,AP_RunwayLenM,AP_Passengers,AP_MoreInfoLink,AP_URLHome
RPUO,Basco Airport,BSO,PH,"N202705,E1215848",Basco,A,291,1250,104089,https://en.wikipedia.org/wiki/Basco_Airport,NULL
ENSH,SvolvÃ¦r Airport Helle,SVJ,NO,"N681436,E0140930",SvolvÃ¦r,A,29,946,103530,https://en.wikipedia.org/wiki/SvolvÃ¦r_Airport_Helle,NULL
SBUR,Uberaba Airport,UBA,BR,"S194553,W0475758",Uberaba,A,2655,1759,103509,https://en.wikipedia.org/wiki/Uberaba_Airport,http://www.infraero.gov.br/index.php/br/aeroportos/minas-gerais/aeroporto-de-uberaba.html
LTBZ,Zafer Airport,KZR,TR,"N390641,E0300748",AltÄ±ntaÅŸ,A,3322,3000,103364,https://en.wikipedia.org/wiki/Zafer_Airport,http://www.zafer.aero/
RPUY,Cauayan Airport,CYZ,PH,"N165548,E1214511",Cauayan City,A,200,2096,103011,https://en.wikipedia.org/wiki/Cauayan_Airport,NULL
RPMN,Sanga-Sanga Airport,TWT,PH,"N050249,E1194435",NULL,A,16,1930,102564,https://en.wikipedia.org/wiki/Sanga-Sanga_Airport,NULL
PASC,Deadhorse Airport,SCC,US,"N701141,W1482754",Deadhorse,A,64,1981,102410,https://en.wikipedia.org/wiki/Deadhorse_Airport,NULL
KENV,Wendover Airport,ENV,US,"N404307,W1140152",Wendover,A,4237,NULL,101468,https://en.wikipedia.org/wiki/Wendover_Airport,NULL
HHAS,Asmara International Airport,ASM,ER,"N151731,E0385439",Asmara,A,7661,3000,101455,https://en.wikipedia.org/wiki/Asmara_International_Airport,NULL
FEFF,Bangui M'Poko International Airport,BGF,CF,"N042355,E0183108",Bangui,A,1208,2600,101099,https://en.wikipedia.org/wiki/Bangui_M'Poko_International_Airport,NULL
